year,period,periodName,latest,value,footnotes,seriesID
2025,M02,February,true,319.082,[{}],CUUR0000SA0
2025,M01,January,,317.671,[{}],CUUR0000SA0
2024,M12,December,,315.605,[{}],CUUR0000SA0
2024,M11,November,,315.493,[{}],CUUR0000SA0
2024,M10,October,,315.664,[{}],CUUR0000SA0
2024,M09,September,,315.301,[{}],CUUR0000SA0
2024,M08,August,,314.796,[{}],CUUR0000SA0
2024,M07,July,,314.540,[{}],CUUR0000SA0
2024,M06,June,,314.175,[{}],CUUR0000SA0
2024,M05,May,,314.069,[{}],CUUR0000SA0
2024,M04,April,,313.548,[{}],CUUR0000SA0
2024,M03,March,,312.332,[{}],CUUR0000SA0
2024,M02,February,,310.326,[{}],CUUR0000SA0
2024,M01,January,,308.417,[{}],CUUR0000SA0
2023,M12,December,,306.746,[{}],CUUR0000SA0
2023,M11,November,,307.051,[{}],CUUR0000SA0
2023,M10,October,,307.671,[{}],CUUR0000SA0
2023,M09,September,,307.789,[{}],CUUR0000SA0
2023,M08,August,,307.026,[{}],CUUR0000SA0
2023,M07,July,,305.691,[{}],CUUR0000SA0
2023,M06,June,,305.109,[{}],CUUR0000SA0
2023,M05,May,,304.127,[{}],CUUR0000SA0
2023,M04,April,,303.363,[{}],CUUR0000SA0
2023,M03,March,,301.836,[{}],CUUR0000SA0
2023,M02,February,,300.840,[{}],CUUR0000SA0
2023,M01,January,,299.170,[{}],CUUR0000SA0
2022,M12,December,,296.797,[{}],CUUR0000SA0
2022,M11,November,,297.711,[{}],CUUR0000SA0
2022,M10,October,,298.012,[{}],CUUR0000SA0
2022,M09,September,,296.808,[{}],CUUR0000SA0
2022,M08,August,,296.171,[{}],CUUR0000SA0
2022,M07,July,,296.276,[{}],CUUR0000SA0
2022,M06,June,,296.311,[{}],CUUR0000SA0
2022,M05,May,,292.296,[{}],CUUR0000SA0
2022,M04,April,,289.109,[{}],CUUR0000SA0
2022,M03,March,,287.504,[{}],CUUR0000SA0
2022,M02,February,,283.716,[{}],CUUR0000SA0
2022,M01,January,,281.148,[{}],CUUR0000SA0
2021,M12,December,,278.802,[{}],CUUR0000SA0
2021,M11,November,,277.948,[{}],CUUR0000SA0
2021,M10,October,,276.589,[{}],CUUR0000SA0
2021,M09,September,,274.310,[{}],CUUR0000SA0
2021,M08,August,,273.567,[{}],CUUR0000SA0
2021,M07,July,,273.003,[{}],CUUR0000SA0
2021,M06,June,,271.696,[{}],CUUR0000SA0
2021,M05,May,,269.195,[{}],CUUR0000SA0
2021,M04,April,,267.054,[{}],CUUR0000SA0
2021,M03,March,,264.877,[{}],CUUR0000SA0
2021,M02,February,,263.014,[{}],CUUR0000SA0
2021,M01,January,,261.582,[{}],CUUR0000SA0
2020,M12,December,,260.474,[{}],CUUR0000SA0
2020,M11,November,,260.229,[{}],CUUR0000SA0
2020,M10,October,,260.388,[{}],CUUR0000SA0
2020,M09,September,,260.280,[{}],CUUR0000SA0
2020,M08,August,,259.918,[{}],CUUR0000SA0
2020,M07,July,,259.101,[{}],CUUR0000SA0
2020,M06,June,,257.797,[{}],CUUR0000SA0
2020,M05,May,,256.394,[{}],CUUR0000SA0
2020,M04,April,,256.389,[{}],CUUR0000SA0
2020,M03,March,,258.115,[{}],CUUR0000SA0
2020,M02,February,,258.678,[{}],CUUR0000SA0
2020,M01,January,,257.971,[{}],CUUR0000SA0
2019,M12,December,,256.974,[{}],CUUR0000SA0
2019,M11,November,,257.208,[{}],CUUR0000SA0
2019,M10,October,,257.346,[{}],CUUR0000SA0
2019,M09,September,,256.759,[{}],CUUR0000SA0
2019,M08,August,,256.558,[{}],CUUR0000SA0
2019,M07,July,,256.571,[{}],CUUR0000SA0
2019,M06,June,,256.143,[{}],CUUR0000SA0
2019,M05,May,,256.092,[{}],CUUR0000SA0
2019,M04,April,,255.548,[{}],CUUR0000SA0
2019,M03,March,,254.202,[{}],CUUR0000SA0
2019,M02,February,,252.776,[{}],CUUR0000SA0
2019,M01,January,,251.712,[{}],CUUR0000SA0
2018,M12,December,,251.233,[{}],CUUR0000SA0
2018,M11,November,,252.038,[{}],CUUR0000SA0
2018,M10,October,,252.885,[{}],CUUR0000SA0
2018,M09,September,,252.439,[{}],CUUR0000SA0
2018,M08,August,,252.146,[{}],CUUR0000SA0
2018,M07,July,,252.006,[{}],CUUR0000SA0
2018,M06,June,,251.989,[{}],CUUR0000SA0
2018,M05,May,,251.588,[{}],CUUR0000SA0
2018,M04,April,,250.546,[{}],CUUR0000SA0
2018,M03,March,,249.554,[{}],CUUR0000SA0
2018,M02,February,,248.991,[{}],CUUR0000SA0
2018,M01,January,,247.867,[{}],CUUR0000SA0
2017,M12,December,,246.524,[{}],CUUR0000SA0
2017,M11,November,,246.669,[{}],CUUR0000SA0
2017,M10,October,,246.663,[{}],CUUR0000SA0
2017,M09,September,,246.819,[{}],CUUR0000SA0
2017,M08,August,,245.519,[{}],CUUR0000SA0
2017,M07,July,,244.786,[{}],CUUR0000SA0
2017,M06,June,,244.955,[{}],CUUR0000SA0
2017,M05,May,,244.733,[{}],CUUR0000SA0
2017,M04,April,,244.524,[{}],CUUR0000SA0
2017,M03,March,,243.801,[{}],CUUR0000SA0
2017,M02,February,,243.603,[{}],CUUR0000SA0
2017,M01,January,,242.839,[{}],CUUR0000SA0
2016,M12,December,,241.432,[{}],CUUR0000SA0
2016,M11,November,,241.353,[{}],CUUR0000SA0
2016,M10,October,,241.729,[{}],CUUR0000SA0
2016,M09,September,,241.428,[{}],CUUR0000SA0
2016,M08,August,,240.849,[{}],CUUR0000SA0
2016,M07,July,,240.628,[{}],CUUR0000SA0
2016,M06,June,,241.018,[{}],CUUR0000SA0
2016,M05,May,,240.229,[{}],CUUR0000SA0
2016,M04,April,,239.261,[{}],CUUR0000SA0
2016,M03,March,,238.132,[{}],CUUR0000SA0
2016,M02,February,,237.111,[{}],CUUR0000SA0
2016,M01,January,,236.916,[{}],CUUR0000SA0
2025,M02,February,true,4.1,[{}],LNS14000000
2025,M01,January,,4.0,[{}],LNS14000000
2024,M12,December,,4.1,[{}],LNS14000000
2024,M11,November,,4.2,[{}],LNS14000000
2024,M10,October,,4.1,[{}],LNS14000000
2024,M09,September,,4.1,[{}],LNS14000000
2024,M08,August,,4.2,[{}],LNS14000000
2024,M07,July,,4.2,[{}],LNS14000000
2024,M06,June,,4.1,[{}],LNS14000000
2024,M05,May,,4.0,[{}],LNS14000000
2024,M04,April,,3.9,[{}],LNS14000000
2024,M03,March,,3.9,[{}],LNS14000000
2024,M02,February,,3.9,[{}],LNS14000000
2024,M01,January,,3.7,[{}],LNS14000000
2023,M12,December,,3.8,[{}],LNS14000000
2023,M11,November,,3.7,[{}],LNS14000000
2023,M10,October,,3.9,[{}],LNS14000000
2023,M09,September,,3.8,[{}],LNS14000000
2023,M08,August,,3.7,[{}],LNS14000000
2023,M07,July,,3.5,[{}],LNS14000000
2023,M06,June,,3.6,[{}],LNS14000000
2023,M05,May,,3.6,[{}],LNS14000000
2023,M04,April,,3.4,[{}],LNS14000000
2023,M03,March,,3.5,[{}],LNS14000000
2023,M02,February,,3.6,[{}],LNS14000000
2023,M01,January,,3.5,[{}],LNS14000000
2022,M12,December,,3.5,[{}],LNS14000000
2022,M11,November,,3.6,[{}],LNS14000000
2022,M10,October,,3.6,[{}],LNS14000000
2022,M09,September,,3.5,[{}],LNS14000000
2022,M08,August,,3.6,[{}],LNS14000000
2022,M07,July,,3.5,[{}],LNS14000000
2022,M06,June,,3.6,[{}],LNS14000000
2022,M05,May,,3.6,[{}],LNS14000000
2022,M04,April,,3.7,[{}],LNS14000000
2022,M03,March,,3.7,[{}],LNS14000000
2022,M02,February,,3.8,[{}],LNS14000000
2022,M01,January,,4.0,[{}],LNS14000000
2021,M12,December,,3.9,[{}],LNS14000000
2021,M11,November,,4.2,[{}],LNS14000000
2021,M10,October,,4.5,[{}],LNS14000000
2021,M09,September,,4.7,[{}],LNS14000000
2021,M08,August,,5.1,[{}],LNS14000000
2021,M07,July,,5.4,[{}],LNS14000000
2021,M06,June,,5.9,[{}],LNS14000000
2021,M05,May,,5.8,[{}],LNS14000000
2021,M04,April,,6.1,[{}],LNS14000000
2021,M03,March,,6.1,[{}],LNS14000000
2021,M02,February,,6.2,[{}],LNS14000000
2021,M01,January,,6.4,[{}],LNS14000000
2020,M12,December,,6.7,[{}],LNS14000000
2020,M11,November,,6.7,[{}],LNS14000000
2020,M10,October,,6.9,[{}],LNS14000000
2020,M09,September,,7.8,[{}],LNS14000000
2020,M08,August,,8.4,[{}],LNS14000000
2020,M07,July,,10.2,[{}],LNS14000000
2020,M06,June,,11.0,[{}],LNS14000000
2020,M05,May,,13.2,[{}],LNS14000000
2020,M04,April,,14.8,[{}],LNS14000000
2020,M03,March,,4.4,[{}],LNS14000000
2020,M02,February,,3.5,[{}],LNS14000000
2020,M01,January,,3.6,[{}],LNS14000000
2019,M12,December,,3.6,[{}],LNS14000000
2019,M11,November,,3.6,[{}],LNS14000000
2019,M10,October,,3.6,[{}],LNS14000000
2019,M09,September,,3.5,[{}],LNS14000000
2019,M08,August,,3.6,[{}],LNS14000000
2019,M07,July,,3.7,[{}],LNS14000000
2019,M06,June,,3.6,[{}],LNS14000000
2019,M05,May,,3.6,[{}],LNS14000000
2019,M04,April,,3.7,[{}],LNS14000000
2019,M03,March,,3.8,[{}],LNS14000000
2019,M02,February,,3.8,[{}],LNS14000000
2019,M01,January,,4.0,[{}],LNS14000000
2018,M12,December,,3.9,[{}],LNS14000000
2018,M11,November,,3.8,[{}],LNS14000000
2018,M10,October,,3.8,[{}],LNS14000000
2018,M09,September,,3.7,[{}],LNS14000000
2018,M08,August,,3.8,[{}],LNS14000000
2018,M07,July,,3.8,[{}],LNS14000000
2018,M06,June,,4.0,[{}],LNS14000000
2018,M05,May,,3.8,[{}],LNS14000000
2018,M04,April,,4.0,[{}],LNS14000000
2018,M03,March,,4.0,[{}],LNS14000000
2018,M02,February,,4.1,[{}],LNS14000000
2018,M01,January,,4.0,[{}],LNS14000000
2017,M12,December,,4.1,[{}],LNS14000000
2017,M11,November,,4.2,[{}],LNS14000000
2017,M10,October,,4.2,[{}],LNS14000000
2017,M09,September,,4.3,[{}],LNS14000000
2017,M08,August,,4.4,[{}],LNS14000000
2017,M07,July,,4.3,[{}],LNS14000000
2017,M06,June,,4.3,[{}],LNS14000000
2017,M05,May,,4.4,[{}],LNS14000000
2017,M04,April,,4.4,[{}],LNS14000000
2017,M03,March,,4.4,[{}],LNS14000000
2017,M02,February,,4.6,[{}],LNS14000000
2017,M01,January,,4.7,[{}],LNS14000000
2016,M12,December,,4.7,[{}],LNS14000000
2016,M11,November,,4.7,[{}],LNS14000000
2016,M10,October,,4.9,[{}],LNS14000000
2016,M09,September,,5.0,[{}],LNS14000000
2016,M08,August,,4.9,[{}],LNS14000000
2016,M07,July,,4.8,[{}],LNS14000000
2016,M06,June,,4.9,[{}],LNS14000000
2016,M05,May,,4.8,[{}],LNS14000000
2016,M04,April,,5.1,[{}],LNS14000000
2016,M03,March,,5.0,[{}],LNS14000000
2016,M02,February,,4.9,[{}],LNS14000000
2016,M01,January,,4.8,[{}],LNS14000000
2025,M02,February,true,146.091,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49104
2025,M01,January,,145.978,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49104
2024,M12,December,,144.915,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49104
2024,M11,November,,144.638,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",WPUFD49104
2024,M10,October,,145.045,[{}],WPUFD49104
2024,M09,September,,144.243,[{}],WPUFD49104
2024,M08,August,,143.741,[{}],WPUFD49104
2024,M07,July,,143.202,[{}],WPUFD49104
2024,M06,June,,143.464,[{}],WPUFD49104
2024,M05,May,,142.532,[{}],WPUFD49104
2024,M04,April,,142.271,[{}],WPUFD49104
2024,M03,March,,141.588,[{}],WPUFD49104
2024,M02,February,,141.223,[{}],WPUFD49104
2024,M01,January,,140.600,[{}],WPUFD49104
2023,M12,December,,139.721,[{}],WPUFD49104
2023,M11,November,,139.916,[{}],WPUFD49104
2023,M10,October,,140.026,[{}],WPUFD49104
2023,M09,September,,139.668,[{}],WPUFD49104
2023,M08,August,,139.787,[{}],WPUFD49104
2023,M07,July,,139.605,[{}],WPUFD49104
2023,M06,June,,138.920,[{}],WPUFD49104
2023,M05,May,,138.782,[{}],WPUFD49104
2023,M04,April,,138.752,[{}],WPUFD49104
2023,M03,March,,138.434,[{}],WPUFD49104
2023,M02,February,,138.265,[{}],WPUFD49104
2023,M01,January,,137.786,[{}],WPUFD49104
2022,M12,December,,137.260,[{}],WPUFD49104
2022,M11,November,,137.251,[{}],WPUFD49104
2022,M10,October,,137.066,[{}],WPUFD49104
2022,M09,September,,136.488,[{}],WPUFD49104
2022,M08,August,,136.366,[{}],WPUFD49104
2022,M07,July,,135.894,[{}],WPUFD49104
2022,M06,June,,135.479,[{}],WPUFD49104
2022,M05,May,,135.015,[{}],WPUFD49104
2022,M04,April,,134.562,[{}],WPUFD49104
2022,M03,March,,133.956,[{}],WPUFD49104
2022,M02,February,,132.152,[{}],WPUFD49104
2022,M01,January,,131.197,[{}],WPUFD49104
2021,M12,December,,129.843,[{}],WPUFD49104
2021,M11,November,,129.175,[{}],WPUFD49104
2021,M10,October,,128.180,[{}],WPUFD49104
2021,M09,September,,127.354,[{}],WPUFD49104
2021,M08,August,,127.190,[{}],WPUFD49104
2021,M07,July,,126.290,[{}],WPUFD49104
2021,M06,June,,125.1,[{}],WPUFD49104
2021,M05,May,,124.3,[{}],WPUFD49104
2021,M04,April,,123.5,[{}],WPUFD49104
2021,M03,March,,122.1,[{}],WPUFD49104
2021,M02,February,,121.4,[{}],WPUFD49104
2021,M01,January,,120.8,[{}],WPUFD49104
2020,M12,December,,119.5,[{}],WPUFD49104
2020,M11,November,,119.6,[{}],WPUFD49104
2020,M10,October,,119.8,[{}],WPUFD49104
2020,M09,September,,119.0,[{}],WPUFD49104
2020,M08,August,,118.8,[{}],WPUFD49104
2020,M07,July,,118.7,[{}],WPUFD49104
2020,M06,June,,118.2,[{}],WPUFD49104
2020,M05,May,,118.0,[{}],WPUFD49104
2020,M04,April,,118.1,[{}],WPUFD49104
2020,M03,March,,118.5,[{}],WPUFD49104
2020,M02,February,,118.3,[{}],WPUFD49104
2020,M01,January,,118.5,[{}],WPUFD49104
2019,M12,December,,117.9,[{}],WPUFD49104
2019,M11,November,,117.8,[{}],WPUFD49104
2019,M10,October,,118.4,[{}],WPUFD49104
2019,M09,September,,117.8,[{}],WPUFD49104
2019,M08,August,,118.2,[{}],WPUFD49104
2019,M07,July,,118.0,[{}],WPUFD49104
2019,M06,June,,117.8,[{}],WPUFD49104
2019,M05,May,,117.7,[{}],WPUFD49104
2019,M04,April,,117.7,[{}],WPUFD49104
2019,M03,March,,117.2,[{}],WPUFD49104
2019,M02,February,,116.9,[{}],WPUFD49104
2019,M01,January,,116.6,[{}],WPUFD49104
2018,M12,December,,116.4,[{}],WPUFD49104
2018,M11,November,,116.4,[{}],WPUFD49104
2018,M10,October,,116.5,[{}],WPUFD49104
2018,M09,September,,115.5,[{}],WPUFD49104
2018,M08,August,,115.5,[{}],WPUFD49104
2018,M07,July,,115.5,[{}],WPUFD49104
2018,M06,June,,115.3,[{}],WPUFD49104
2018,M05,May,,114.9,[{}],WPUFD49104
2018,M04,April,,114.8,[{}],WPUFD49104
2018,M03,March,,114.6,[{}],WPUFD49104
